FORTYPCD,tree_count,mean_carbon,median_carbon,min_carbon,max_carbon
161.0,721929,159.6783064261693,73.281769,0.156876,21550.616331
201.0,443514,1518.1897440479445,279.93978749999997,0.160114,94161.416306
801.0,247417,156.4008263586617,79.098409,0.006032,7742.190219
142.0,220542,173.02633458241516,85.314064,0.274637,8398.223849
503.0,141475,289.5779803808871,93.478098,0.032432,13178.261184
406.0,135723,209.35666995224096,71.382463,0.207023,22922.879306
221.0,127529,811.5705343076477,205.877915,0.184941,33721.072876
121.0,118849,67.44174294630162,41.15007,0.084872,3781.26119
600.0,118815,371.98234989683124,99.932027,0.449916,66875.541209
500.0,116853,327.43925454792776,50.828583,0.385226,23729.667626
371.0,111745,1665.8919142496575,284.91333,0.117182,62075.725123
520.0,103365,243.89224521168677,84.866854,0.091128,22379.122345
608.0,95416,208.84036499627942,96.794733,0.017175,9240.916901
281.0,92309,306.1295403331853,82.676446,0.160114,28347.698098
400.0,82103,214.81329374989951,27.193369,0.385226,10845.221834
301.0,79499,1459.3845128348785,263.474254,0.240983,97377.542504
602.0,73125,351.3680607427419,117.187944,0.268363,30081.035033
123.0,67939,118.35454231678418,64.790748,0.054415,5654.612687
127.0,64842,102.04813675838192,61.834275500000004,0.104759,4538.899381
124.0,54241,75.9826288551649,40.48231,0.306947,3620.401122
508.0,52191,211.01186017882392,80.287121,0.24152,9948.071693
264.0,46939,1057.2200899989773,149.903858,0.274134,47526.072508
162.0,46662,175.04505284756334,58.15645,0.202829,5628.470031
901.0,44627,113.08587932195755,58.620264,0.121144,8422.444096
141.0,44444,247.40787166935922,117.123055,0.207023,15454.434312
261.0,43523,1526.7253297847576,263.567844,0.160114,45545.979366
902.0,43188,107.93041644074742,63.32773,0.054415,8748.034383
941.0,42231,950.3916764683763,149.778533,0.162217,48224.387864
267.0,41208,933.4610933235052,198.007328,0.288444,22999.06969
809.0,37988,119.92275399997368,68.0297365,0.01785,4541.781569
163.0,34770,155.69641270419902,74.580643,0.207023,5826.720878
911.0,33477,692.4777657972339,209.945231,0.4296,52401.065288
933.0,31549,572.9568699239912,104.523135,0.117182,31629.029585
103.0,30474,246.4474213314957,110.207683,0.108957,7321.56741
506.0,29921,361.4512348884061,125.580355,0.285269,12947.535307
270.0,29292,828.9810776395943,172.74319350000002,0.240799,20118.834434
515.0,29022,361.05556791179106,152.419716,0.230063,10655.505734
404.0,25681,216.80898053747907,79.380535,0.200452,7591.730278
407.0,23103,205.245352478769,81.660432,0.33991,6506.681926
502.0,21779,444.4880014074108,175.80497,0.287916,8997.111735
369.0,20860,435.6910951375839,110.049331,0.128792,14921.420642
125.0,20341,68.8221087996657,51.573049,0.213627,1979.468958
304.0,18411,1671.6972034895987,245.351194,0.187784,57631.967225
401.0,18380,268.239637445593,112.6187735,0.166507,7602.618019
341.0,18004,2229.1932011956233,644.8940685,0.345575,180422.108817
266.0,17246,517.4351492542039,128.4445905,0.22487,11723.261045
105.0,17101,198.22737186433542,111.937061,0.198972,4995.712248
262.0,16092,2071.682605216505,514.668815,0.160114,48248.298192
922.0,16013,613.3176050616374,131.119432,0.184941,26958.819553
321.0,15896,498.7313707091092,156.090519,0.332693,11741.197406
405.0,15816,218.23008576321448,93.2186695,0.27478,5705.798502
501.0,15356,269.4496520554832,114.373723,0.259092,18616.674857
607.0,14314,333.0469228606958,174.61244449999998,0.419692,8541.927891
268.0,14104,317.0073726778928,96.239713,0.299244,12433.670289
706.0,12936,336.1959467561843,124.3228275,0.282899,8825.136078
504.0,12643,519.3255229691529,182.950537,0.312469,10275.513184
923.0,12288,373.09695586751303,95.274026,0.257608,20188.129669
700.0,11125,553.9135197605393,211.627097,0.449916,14931.932586
961.0,11109,703.0801381226033,129.339492,0.187987,27277.517839
505.0,10764,296.18681387541807,132.432549,0.256184,11797.619216
511.0,10761,297.0585968735248,106.915721,0.370707,11140.727883
609.0,10411,184.5767515726635,99.253196,0.496726,6127.824702
403.0,10354,222.44502723044235,78.694656,0.236739,9080.421043
104.0,8918,276.37978316371385,127.21202,0.289893,5594.676478
999.0,8719,436.32559575857323,50.901361,0.250059,19772.502836
708.0,8656,142.3287174744686,80.211037,0.289893,6575.262542
225.0,8425,1021.1951451814836,231.889178,0.184941,28565.833028
962.0,8341,267.3781457156216,63.12544,0.249463,11105.688204
924.0,8335,293.4234196161967,112.459398,0.31761,12691.225955
912.0,8095,1091.4589353791227,233.341368,0.341545,38874.938936
516.0,7723,155.21844970141137,65.410368,0.27669,5177.347142
122.0,7349,128.28268966634917,67.54625,0.101487,3179.411846
934.0,7049,311.9931195301461,77.055217,0.352054,13173.371975
,6929,709.3008879884543,170.394983,0.234225,26619.483849
805.0,6705,165.47894731260254,88.783303,0.216964,3207.413875
705.0,6640,341.2813078201807,111.4318775,0.101706,11962.812394
263.0,6615,1169.0855329933484,206.282302,0.407444,45935.931907
185.0,6384,218.15699487828948,69.411981,0.461507,6303.289614
409.0,5887,305.01209490436554,106.980808,0.377785,7462.339813
800.0,5865,110.00236518482524,61.833531,0.062721,1617.951501
903.0,5660,51.46999917650177,16.90899,0.280081,1014.721771
942.0,5431,1057.626524574664,163.676447,0.187987,31068.493757
265.0,5384,716.9069532767459,187.239601,0.266581,24548.984793
931.0,5293,637.5897656865671,201.059188,0.438323,17013.895328
701.0,5186,87.09137680987273,59.150522,0.147228,1454.315924
702.0,5011,250.6954728595091,96.683159,0.27669,4571.49414
514.0,4958,155.83783100040338,24.785613,0.446009,11410.109573
166.0,4787,209.06667965886777,89.915943,0.446009,4893.17277
920.0,4625,532.1420855126487,131.837197,0.258557,26592.058878
517.0,4072,200.56608101866405,80.4693065,0.207023,5829.702462
126.0,4011,102.83436829618549,68.906089,0.118762,1512.530298
305.0,3784,2265.266918797569,546.4935955000001,0.478601,42022.122036
402.0,3420,155.48262346695907,76.88368700000001,0.378384,3464.914343
943.0,3376,666.8824951726896,88.44368,0.208474,24946.048282
367.0,3356,242.65343657687723,58.903634499999995,0.234225,6182.145628
601.0,3318,505.5282826642556,145.8877435,0.282899,14664.603358
605.0,3217,442.430109129313,157.171929,0.414678,8111.925758
904.0,2995,89.97444046110184,56.15486,0.328189,1705.609488
519.0,2957,180.1361057943862,63.715749,0.268242,7278.988944
510.0,2847,413.433669770987,172.046866,0.285269,9384.132469
102.0,2718,142.50964611994112,86.76349049999999,0.377785,1263.344235
974.0,2654,141.61008105953277,26.2940675,0.240799,11407.782265
171.0,2391,108.5447109581765,61.767837,0.333412,3760.756499
703.0,2180,1126.9477079399082,236.6894415,0.33773,18010.34036
704.0,1864,83.24619290772533,33.061137,0.149576,5358.36494
995.0,1847,118.80380694856525,66.917577,0.378384,4320.041119
241.0,1826,1404.0578943296825,257.47670200000005,0.22487,28567.20486
921.0,1814,603.401420104741,128.471005,0.361665,8129.447491
222.0,1742,689.0760717462687,112.074659,0.184941,21823.244877
507.0,1739,152.26470494537088,64.374311,0.24152,4713.930263
224.0,1682,1625.7616796664684,185.586414,0.238097,48509.556385
368.0,1625,404.9129944209231,80.824905,0.406925,9612.508069
271.0,1493,1241.29864648426,115.192278,0.374506,40268.27094
905.0,1372,52.059424398688044,9.2005015,0.373127,3110.291688
168.0,1164,316.39174042697596,103.10624899999999,0.358997,3474.292067
164.0,1157,55.496340666378565,45.14538,0.323356,738.041911
365.0,1092,2146.23438242033,1714.5200905,6.634042,16678.299981
202.0,990,1830.662137849495,281.9991875,0.362614,23644.8697
709.0,928,789.7577438275862,181.0274765,0.604353,22941.796666
184.0,925,177.30305969513512,46.961789,0.258695,4839.437121
384.0,895,98.54192753743017,78.643174,0.622674,500.656315
935.0,881,1037.951547433598,228.288973,0.828082,13566.623
722.0,817,735.7981407845778,154.706234,0.765823,11443.788396
900.0,737,55.475038481682496,25.903783,0.21612,931.864198
167.0,567,229.35401646560845,119.983885,0.555405,1435.979925
361.0,512,200.30930314648438,38.066274,0.262305,9623.023788
802.0,412,72.47059217475729,43.282641,0.151937,1032.639204
363.0,358,1200.7470331927375,402.165388,0.438039,16631.357718
975.0,307,539.1920093289903,48.501061,0.586574,9555.121
385.0,304,90.23755288157895,81.570945,0.676865,319.80063
366.0,226,990.6401117964601,758.5771159999999,1.864795,3949.341337
983.0,153,649.4770681699346,374.36918,32.765364,4995.759461
512.0,135,361.69725282962963,143.168849,0.790838,10175.263376
513.0,134,270.04631553731343,160.393763,0.622506,2628.196775
226.0,132,772.6382535151515,258.91597,0.4654,5812.583241
707.0,132,217.40698499242424,115.48556500000001,1.371855,1307.18474
101.0,125,32.156078144,24.842612,0.092822,232.735729
973.0,109,240.36005026605505,95.409061,4.213251,1653.632969
606.0,95,354.24565444210526,206.3983,0.911043,2715.702615
165.0,87,172.8164648275862,55.92703,0.651646,1217.432611
364.0,59,753.4536238983052,595.735409,9.485758,2657.288523
991.0,55,202.86335703636362,116.459364,0.512671,1062.497687
972.0,54,1179.8346489444443,483.4986635,41.46966,4858.341107
976.0,46,483.8517770869565,385.138596,11.780966,2179.631654
993.0,25,1987.5081102,729.439562,6.759584,14280.000185
203.0,16,748.009283,306.354157,6.358111,2904.70833
989.0,6,101.22603966666668,75.6939625,43.387186,268.191768
342.0,6,299.64895416666667,311.629215,118.700533,434.154276
381.0,5,184.39010739999998,182.080433,146.419974,240.486547
182.0,4,1971.28685675,1700.376608,31.735705,4452.658506
280.0,4,29.99070275,4.3541175,2.611227,108.643349
260.0,1,10514.723554,10514.723554,10514.723554,10514.723554
